,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archetype,Home all day,,,,,,,,,,,,,,,,,Archetype,In half the day,,,,,,,,,,,,,,,,,Archetype,Out during the day,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Occupancy: Home all day. Annual electricity consumption: 1,500 kWh to 1,999 kWh",,,,,,,,,,,,,,,,,,"Occupancy: In half the day. Annual electricity consumption: 1,500 kWh to 1,999 kWh",,,,,,,,,,,,,,,,,,"Occupancy: Out during the day. Annual electricity consumption: 1,500 kWh to 1,999 kWh",,,,,,,,,,,,,,,
,,"Battery Energy Storage Usable Capacity, kWh",,,,,,,,,,,,,,,,,,"Battery Energy Storage Usable Capacity, kWh",,,,,,,,,,,,,,,,,,"Battery Energy Storage Usable Capacity, kWh",,,,,,,,,,,,,,,
,,PV,≥1.1,≥2.1,≥3.1,≥4.1,≥5.1,≥6.1,≥7.1,≥8.1,≥9.1,≥10.1,≥11.1,≥12.1,≥13.1,≥14.1,,,,PV,≥1.1,≥2.1,≥3.1,≥4.1,≥5.1,≥6.1,≥7.1,≥8.1,≥9.1,≥10.1,≥11.1,≥12.1,≥13.1,≥14.1,,,,PV,≥1.1,≥2.1,≥3.1,≥4.1,≥5.1,≥6.1,≥7.1,≥8.1,≥9.1,≥10.1,≥11.1,≥12.1,≥13.1,≥14.1,
,,Only,<2.1,<3.1,<4.1,<5.1,<6.1,<7.1,<8.1,<9.1,<10.1,<11.1,<12.1,<13.1,<14.1,<15.1,,,,Only,<2.1,<3.1,<4.1,<5.1,<6.1,<7.1,<8.1,<9.1,<10.1,<11.1,<12.1,<13.1,<14.1,<15.1,,,,Only,<2.1,<3.1,<4.1,<5.1,<6.1,<7.1,<8.1,<9.1,<10.1,<11.1,<12.1,<13.1,<14.1,<15.1,
"Annual generation from solar PV system, kWh",0 kWh to 299 kWh,69.5%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,,"Annual generation from solar PV system, kWh",0 kWh to 299 kWh,62.5%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,,"Annual generation from solar PV system, kWh",0 kWh to 299 kWh,54.9%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,
,300 kWh to 599 kWh,51.6%,91.2%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,,,300 kWh to 599 kWh,46.2%,89.7%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,,,300 kWh to 599 kWh,40.2%,81.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,95.0%,
,600 kWh to 899 kWh,45.7%,75.6%,88.0%,93.0%,94.5%,94.5%,94.5%,94.5%,94.5%,94.7%,94.9%,95.0%,95.0%,95.0%,95.0%,,,600 kWh to 899 kWh,41.1%,73.6%,87.0%,92.2%,93.7%,93.7%,93.7%,93.7%,93.8%,94.2%,94.4%,94.4%,94.4%,94.4%,94.4%,,,600 kWh to 899 kWh,36.4%,70.2%,84.7%,90.7%,92.8%,93.2%,93.4%,93.5%,93.6%,93.6%,93.8%,93.8%,93.9%,93.9%,93.9%,
,"900 kWh to 1,199 kWh",38.0%,66.6%,79.5%,85.4%,87.8%,88.5%,88.9%,88.9%,89.0%,89.0%,89.0%,89.0%,89.1%,89.4%,89.4%,,,"900 kWh to 1,199 kWh",33.7%,63.4%,76.9%,83.4%,86.3%,87.3%,87.8%,88.0%,88.1%,88.2%,88.3%,88.5%,88.5%,88.7%,88.9%,,,"900 kWh to 1,199 kWh",29.2%,59.2%,73.9%,81.7%,85.5%,87.1%,87.8%,88.0%,88.1%,88.2%,88.3%,88.5%,88.5%,88.5%,88.5%,
,"1200 kWh to 1,499 kWh",33.1%,59.7%,72.1%,78.3%,81.4%,82.5%,83.0%,83.0%,83.0%,83.1%,83.1%,83.3%,83.5%,83.9%,83.9%,,,"1200 kWh to 1,499 kWh",29.1%,56.1%,69.3%,76.5%,80.0%,81.4%,82.0%,82.4%,82.5%,82.5%,82.6%,82.8%,82.8%,83.1%,83.5%,,,"1200 kWh to 1,499 kWh",24.8%,51.6%,65.9%,74.3%,78.9%,81.0%,82.0%,82.4%,82.5%,82.5%,82.6%,82.8%,82.8%,82.8%,82.8%,
,"1500 kWh to 1,799 kWh",29.2%,53.4%,65.0%,71.1%,74.4%,75.7%,76.3%,76.3%,76.3%,76.3%,76.3%,76.7%,77.1%,77.7%,77.7%,,,"1500 kWh to 1,799 kWh",25.9%,50.0%,62.4%,69.6%,73.3%,74.9%,75.3%,75.9%,76.0%,76.1%,76.1%,76.2%,76.4%,76.7%,77.1%,,,"1500 kWh to 1,799 kWh",21.6%,45.5%,58.7%,67.1%,71.9%,74.2%,75.3%,75.9%,76.0%,76.1%,76.1%,76.2%,76.2%,76.2%,76.2%,
,"1800 kWh to 2,099 kWh",26.0%,47.7%,58.2%,63.9%,67.0%,68.7%,69.4%,69.4%,69.4%,69.5%,69.5%,70.0%,70.5%,70.9%,71.0%,,,"1800 kWh to 2,099 kWh",23.2%,44.8%,56.3%,63.3%,66.8%,68.4%,68.9%,69.1%,69.4%,69.5%,69.5%,69.6%,70.1%,70.2%,70.5%,,,"1800 kWh to 2,099 kWh",19.0%,40.2%,52.3%,60.1%,64.7%,67.1%,68.4%,69.1%,69.4%,69.5%,69.5%,69.6%,69.6%,69.6%,69.6%,
,"2100 kWh to 2,399 kWh",23.4%,43.2%,52.9%,58.1%,60.8%,62.3%,62.9%,63.0%,63.1%,63.4%,63.4%,63.7%,64.1%,64.4%,64.8%,,,"2100 kWh to 2,399 kWh",21.0%,40.6%,51.2%,57.6%,60.8%,62.3%,62.8%,62.9%,63.1%,63.4%,63.4%,63.5%,64.0%,64.1%,64.3%,,,"2100 kWh to 2,399 kWh",17.0%,36.0%,47.0%,54.3%,58.7%,61.0%,62.1%,62.8%,63.1%,63.4%,63.4%,63.5%,63.5%,63.5%,63.5%,
,"2400 kWh to 2,699 kWh",21.3%,39.5%,48.5%,53.4%,55.6%,57.0%,57.5%,57.8%,57.8%,58.0%,58.1%,58.2%,58.3%,58.3%,58.3%,,,"2400 kWh to 2,699 kWh",19.0%,36.9%,46.7%,52.7%,55.6%,57.0%,57.5%,57.8%,57.8%,58.0%,58.1%,58.2%,58.3%,58.3%,58.3%,,,"2400 kWh to 2,699 kWh",15.4%,32.7%,42.6%,49.4%,53.5%,55.7%,56.6%,57.3%,57.6%,58.0%,58.1%,58.2%,58.2%,58.2%,58.2%,
,"2700 kWh to 2,999 kWh",19.7%,36.3%,44.8%,49.5%,51.3%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,,,"2700 kWh to 2,999 kWh",17.4%,33.7%,42.5%,48.1%,51.0%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,,,"2700 kWh to 2,999 kWh",14.2%,29.9%,39.1%,45.4%,49.2%,51.3%,52.1%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,52.2%,
,"3000 kWh to 3,299 kWh",18.4%,33.4%,41.2%,45.7%,47.2%,47.2%,47.2%,47.2%,47.2%,47.2%,47.2%,47.2%,47.2%,47.2%,47.2%,,,"3000 kWh to 3,299 kWh",16.1%,30.7%,38.7%,44.0%,47.1%,47.2%,47.2%,47.2%,47.2%,47.2%,47.2%,47.2%,47.2%,47.2%,47.2%,,,"3000 kWh to 3,299 kWh",13.1%,27.5%,36.0%,41.8%,45.5%,47.2%,47.2%,47.2%,47.2%,47.2%,47.2%,47.2%,47.2%,47.2%,47.2%,
