Wind ,Ridge,,country terrain,,,Urban terrain,
zone,height (m),,Distance to sea,,,Distance to sea,
,,<2km,2-20km,>20km,<2km,2-20km,>20km
1,5,869,783,718,688,620,569
1,10,1009,955,872,883,836,763
1,15,1094,1062,977,1012,982,904
1,20,1122,1108,1017,1066,1052,966
1,25,1166,1166,1072,1137,1137,1045
,,,,,,,
2,5,1034,931,854,819,738,677
2,10,1201,1136,1038,1050,994,908
2,15,1302,1264,1163,1204,1169,1075
2,20,1335,1318,1210,1268,1253,1149
2,25,1388,1388,1276,1353,1353,1244
,,,,,,,
3,5,1213,1093,1003,961,866,794
3,10,1409,1334,1218,1233,1167,1066
3,15,1527,1483,1364,1413,1372,1262
3,20,1567,1547,1420,1489,1470,1349
3,25,1629,1629,1498,1588,1588,1460
,,,,,,,
4,5,1407,1268,1163,1115,1004,921
4,10,1634,1547,1413,1430,1353,1236
4,15,1772,1720,1582,1639,1591,1464
4,20,1817,1795,1647,1726,1705,1565
4,25,1889,1889,1737,1842,1842,1694
,,,,,,,
5,5,1703,1534,1407,1349,1215,1115
5,10,1977,1872,1710,1730,1638,1496
5,15,2144,2081,1915,1983,1925,1771
5,20,2199,2171,1993,2089,2063,1893
5,25,2286,2286,2102,2229,2229,2049
